,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
325,2009/11/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
