,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
293,,,2009/10/23,,,,,,,,,,,,,,,,,namecoin,nmc
294,,,2009/10/24,,,,,,,,,,,,,,,,,namecoin,nmc
295,,,2009/10/25,,,,,,,,,,,,,,,,,namecoin,nmc
296,,,2009/10/26,,,,,,,,,,,,,,,,,namecoin,nmc
297,,,2009/10/27,,,,,,,,,,,,,,,,,namecoin,nmc
298,,,2009/10/28,,,,,,,,,,,,,,,,,namecoin,nmc
299,,,2009/10/29,,,,,,,,,,,,,,,,,namecoin,nmc
300,,,2009/10/30,,,,,,,,,,,,,,,,,namecoin,nmc
301,,,2009/10/31,,,,,,,,,,,,,,,,,namecoin,nmc
302,,,2009/11/01,,,,,,,,,,,,,,,,,namecoin,nmc
303,,,2009/11/02,,,,,,,,,,,,,,,,,namecoin,nmc
304,,,2009/11/03,,,,,,,,,,,,,,,,,namecoin,nmc
305,,,2009/11/04,,,,,,,,,,,,,,,,,namecoin,nmc
306,,,2009/11/05,,,,,,,,,,,,,,,,,namecoin,nmc
307,,,2009/11/06,,,,,,,,,,,,,,,,,namecoin,nmc
308,,,2009/11/07,,,,,,,,,,,,,,,,,namecoin,nmc
309,,,2009/11/08,,,,,,,,,,,,,,,,,namecoin,nmc
310,,,2009/11/09,,,,,,,,,,,,,,,,,namecoin,nmc
311,,,2009/11/10,,,,,,,,,,,,,,,,,namecoin,nmc
312,,,2009/11/11,,,,,,,,,,,,,,,,,namecoin,nmc
313,,,2009/11/12,,,,,,,,,,,,,,,,,namecoin,nmc
314,,,2009/11/13,,,,,,,,,,,,,,,,,namecoin,nmc
315,,,2009/11/14,,,,,,,,,,,,,,,,,namecoin,nmc
316,,,2009/11/15,,,,,,,,,,,,,,,,,namecoin,nmc
317,,,2009/11/16,,,,,,,,,,,,,,,,,namecoin,nmc
318,,,2009/11/17,,,,,,,,,,,,,,,,,namecoin,nmc
319,,,2009/11/18,,,,,,,,,,,,,,,,,namecoin,nmc
320,,,2009/11/19,,,,,,,,,,,,,,,,,namecoin,nmc
321,,,2009/11/20,,,,,,,,,,,,,,,,,namecoin,nmc
322,,,2009/11/21,,,,,,,,,,,,,,,,,namecoin,nmc
323,,,2009/11/22,,,,,,,,,,,,,,,,,namecoin,nmc
324,,,2009/11/23,,,,,,,,,,,,,,,,,namecoin,nmc
325,,,2009/11/24,,,,,,,,,,,,,,,,,namecoin,nmc
326,,,2009/11/25,,,,,,,,,,,,,,,,,namecoin,nmc
327,,,2009/11/26,,,,,,,,,,,,,,,,,namecoin,nmc
328,,,2009/11/27,,,,,,,,,,,,,,,,,namecoin,nmc
329,,,2009/11/28,,,,,,,,,,,,,,,,,namecoin,nmc
330,,,2009/11/29,,,,,,,,,,,,,,,,,namecoin,nmc
331,,,2009/11/30,,,,,,,,,,,,,,,,,namecoin,nmc
332,,,2009/12/01,,,,,,,,,,,,,,,,,namecoin,nmc
333,,,2009/12/02,,,,,,,,,,,,,,,,,namecoin,nmc
334,,,2009/12/03,,,,,,,,,,,,,,,,,namecoin,nmc
335,,,2009/12/04,,,,,,,,,,,,,,,,,namecoin,nmc
