,date,active_addresses,sent_addresses,block_size,transactions,median_transaction_size,mining_profitability,google_trends,difficulty,send_usd,hashrate,fee_reward,av_transaction_value,top_100_percent,median_transaction_value,av_transaction_size,market_cap,tweets,confirmation_time,full_name,coin
170,2009/06/22,137nullnull,21nullnull,225.382nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
171,2009/06/23,76nullnull,19nullnull,134.566nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
172,2009/06/24,100nullnull,36nullnull,140.579nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
173,2009/06/25,89nullnull,27nullnull,168.75nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
174,2009/06/26,90nullnull,20nullnull,134.6nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
175,2009/06/27,84nullnull,22nullnull,134.833nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
176,2009/06/28,48nullnull,21nullnull,139.739nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
177,2009/06/29,85nullnull,25nullnull,137.723nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
178,2009/06/30,89nullnull,26nullnull,140.047nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
179,2009/07/01,77nullnull,28nullnull,138.432nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
180,2009/07/02,85nullnull,29nullnull,137.614nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
181,2009/07/03,82nullnull,29nullnull,134.976nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
182,2009/07/04,89nullnull,32nullnull,134.876nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
183,2009/07/05,79nullnull,27nullnull,134.987nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
184,2009/07/06,84nullnull,28nullnull,134.976nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
185,2009/07/07,69nullnull,19nullnull,134.942nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
186,2009/07/08,74nullnull,19nullnull,134.986nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
187,2009/07/09,86nullnull,33nullnull,134.721nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
188,2009/07/10,81nullnull,29nullnull,134.864nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
189,2009/07/11,83nullnull,29nullnull,134.988nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
190,2009/07/12,77nullnull,25nullnull,134.792nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
191,2009/07/13,78nullnull,24nullnull,134.91nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
