,date,transactions,sent_addresses,mining_profitability,send_usd,median_transaction_size,active_addresses,difficulty,hashrate,fee_reward,block_size,market_cap,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,tweets,top_100_percent,google_trends,full_name,coin
310,2009/11/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
