,block_size,active_addresses,transactions,sent_addresses,fee_reward,difficulty,hashrate,send_usd,mining_profitability,median_transaction_size,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,google_trends,top_100_percent,date,tweets,market_cap,full_name,coin
282,,,,,,,,,,,,,,,,,2015/02/18,null,,siacoin,siacoin
283,,,,,,,,,,,,,,,,,2015/02/19,null,,siacoin,siacoin
284,,,,,,,,,,,,,,,,,2015/02/20,null,,siacoin,siacoin
285,,,,,,,,,,,,,,,,,2015/02/21,null,,siacoin,siacoin
286,,,,,,,,,,,,,,,,,2015/02/22,null,,siacoin,siacoin
287,,,,,,,,,,,,,,,,,2015/02/23,null,,siacoin,siacoin
288,,,,,,,,,,,,,,,,,2015/02/24,null,,siacoin,siacoin
289,,,,,,,,,,,,,,,,,2015/02/25,null,,siacoin,siacoin
290,,,,,,,,,,,,,,,,,2015/02/26,null,,siacoin,siacoin
291,,,,,,,,,,,,,,,,,2015/02/27,null,,siacoin,siacoin
292,,,,,,,,,,,,,,,,,2015/02/28,null,,siacoin,siacoin
293,,,,,,,,,,,,,,,,,2015/03/01,null,,siacoin,siacoin
294,,,,,,,,,,,,,,,,,2015/03/02,null,,siacoin,siacoin
295,,,,,,,,,,,,,,,,,2015/03/03,null,,siacoin,siacoin
296,,,,,,,,,,,,,,,,,2015/03/04,null,,siacoin,siacoin
297,,,,,,,,,,,,,,,,,2015/03/05,null,,siacoin,siacoin
298,,,,,,,,,,,,,,,,,2015/03/06,null,,siacoin,siacoin
299,,,,,,,,,,,,,,,,,2015/03/07,null,,siacoin,siacoin
300,,,,,,,,,,,,,,,,,2015/03/08,null,,siacoin,siacoin
301,,,,,,,,,,,,,,,,,2015/03/09,null,,siacoin,siacoin
302,,,,,,,,,,,,,,,,,2015/03/10,null,,siacoin,siacoin
303,,,,,,,,,,,,,,,,,2015/03/11,null,,siacoin,siacoin
304,,,,,,,,,,,,,,,,,2015/03/12,null,,siacoin,siacoin
305,,,,,,,,,,,,,,,,,2015/03/13,2,,siacoin,siacoin
306,,,,,,,,,,,,,,,,,2015/03/14,null,,siacoin,siacoin
307,,,,,,,,,,,,,,,,,2015/03/15,null,,siacoin,siacoin
308,,,,,,,,,,,,,,,,,2015/03/16,1,,siacoin,siacoin
309,,,,,,,,,,,,,,,,,2015/03/17,1,,siacoin,siacoin
310,,,,,,,,,,,,,,,,,2015/03/18,null,,siacoin,siacoin
311,,,,,,,,,,,,,,,,,2015/03/19,null,,siacoin,siacoin
312,,,,,,,,,,,,,,,,,2015/03/20,null,,siacoin,siacoin
313,,,,,,,,,,,,,,,,,2015/03/21,null,,siacoin,siacoin
314,,,,,,,,,,,,,,,,,2015/03/22,null,,siacoin,siacoin
315,,,,,,,,,,,,,,,,,2015/03/23,null,,siacoin,siacoin
316,,,,,,,,,,,,,,,,,2015/03/24,null,,siacoin,siacoin
317,,,,,,,,,,,,,,,,,2015/03/25,null,,siacoin,siacoin
318,,,,,,,,,,,,,,,,,2015/03/26,null,,siacoin,siacoin
319,,,,,,,,,,,,,,,,,2015/03/27,null,,siacoin,siacoin
320,,,,,,,,,,,,,,,,,2015/03/28,null,,siacoin,siacoin
321,,,,,,,,,,,,,,,,,2015/03/29,null,,siacoin,siacoin
322,,,,,,,,,,,,,,,,,2015/03/30,null,,siacoin,siacoin
323,,,,,,,,,,,,,,,,,2015/03/31,null,,siacoin,siacoin
324,,,,,,,,,,,,,,,,,2015/04/01,1,,siacoin,siacoin
325,,,,,,,,,,,,,,,,,2015/04/02,null,,siacoin,siacoin
326,,,,,,,,,,,,,,,,,2015/04/03,null,,siacoin,siacoin
327,,,,,,,,,,,,,,,,,2015/04/04,null,,siacoin,siacoin
328,,,,,,,,,,,,,,,,,2015/04/05,null,,siacoin,siacoin
329,,,,,,,,,,,,,,,,,2015/04/06,null,,siacoin,siacoin
330,,,,,,,,,,,,,,,,,2015/04/07,null,,siacoin,siacoin
331,,,,,,,,,,,,,,,,,2015/04/08,null,,siacoin,siacoin
