,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
292,,,,,,,,,,,,,,,,,2015/04/29,2,,stealthcoin,stealthcoin
293,,,,,,,,,,,,,,,,,2015/04/30,null,,stealthcoin,stealthcoin
294,,,,,,,,,,,,,,,,,2015/05/01,null,,stealthcoin,stealthcoin
295,,,,,,,,,,,,,,,,,2015/05/02,null,,stealthcoin,stealthcoin
296,,,,,,,,,,,,,,,,,2015/05/03,null,,stealthcoin,stealthcoin
297,,,,,,,,,,,,,,,,,2015/05/04,null,,stealthcoin,stealthcoin
298,,,,,,,,,,,,,,,,,2015/05/05,null,,stealthcoin,stealthcoin
299,,,,,,,,,,,,,,,,,2015/05/06,null,,stealthcoin,stealthcoin
300,,,,,,,,,,,,,,,,,2015/05/07,null,,stealthcoin,stealthcoin
301,,,,,,,,,,,,,,,,,2015/05/08,1,,stealthcoin,stealthcoin
