,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
316,,,,,,,,,,,,,,,,,2015/03/27,null,,savecoin,savecoin
317,,,,,,,,,,,,,,,,,2015/03/28,null,,savecoin,savecoin
318,,,,,,,,,,,,,,,,,2015/03/29,null,,savecoin,savecoin
319,,,,,,,,,,,,,,,,,2015/03/30,null,,savecoin,savecoin
320,,,,,,,,,,,,,,,,,2015/03/31,null,,savecoin,savecoin
321,,,,,,,,,,,,,,,,,2015/04/01,null,,savecoin,savecoin
322,,,,,,,,,,,,,,,,,2015/04/02,null,,savecoin,savecoin
323,,,,,,,,,,,,,,,,,2015/04/03,null,,savecoin,savecoin
324,,,,,,,,,,,,,,,,,2015/04/04,null,,savecoin,savecoin
325,,,,,,,,,,,,,,,,,2015/04/05,null,,savecoin,savecoin
326,,,,,,,,,,,,,,,,,2015/04/06,null,,savecoin,savecoin
327,,,,,,,,,,,,,,,,,2015/04/07,null,,savecoin,savecoin
328,,,,,,,,,,,,,,,,,2015/04/08,null,,savecoin,savecoin
329,,,,,,,,,,,,,,,,,2015/04/09,null,,savecoin,savecoin
330,,,,,,,,,,,,,,,,,2015/04/10,null,,savecoin,savecoin
331,,,,,,,,,,,,,,,,,2015/04/11,null,,savecoin,savecoin
332,,,,,,,,,,,,,,,,,2015/04/12,null,,savecoin,savecoin
333,,,,,,,,,,,,,,,,,2015/04/13,null,,savecoin,savecoin
334,,,,,,,,,,,,,,,,,2015/04/14,null,,savecoin,savecoin
335,,,,,,,,,,,,,,,,,2015/04/15,null,,savecoin,savecoin
336,,,,,,,,,,,,,,,,,2015/04/16,null,,savecoin,savecoin
337,,,,,,,,,,,,,,,,,2015/04/17,null,,savecoin,savecoin
338,,,,,,,,,,,,,,,,,2015/04/18,null,,savecoin,savecoin
339,,,,,,,,,,,,,,,,,2015/04/19,null,,savecoin,savecoin
340,,,,,,,,,,,,,,,,,2015/04/20,null,,savecoin,savecoin
341,,,,,,,,,,,,,,,,,2015/04/21,null,,savecoin,savecoin
342,,,,,,,,,,,,,,,,,2015/04/22,null,,savecoin,savecoin
343,,,,,,,,,,,,,,,,,2015/04/23,null,,savecoin,savecoin
344,,,,,,,,,,,,,,,,,2015/04/24,null,,savecoin,savecoin
