,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
208,,,,,,,,,,,,,,,,,2014/12/25,14,283348,vericoin,vericoin
209,,,,,,,,,,,,,,,,,2014/12/26,20,291975,vericoin,vericoin
210,,,,,,,,,,,,,,,,,2014/12/27,33,288121,vericoin,vericoin
211,,,,,,,,,,,,,,,,,2014/12/28,38,297759,vericoin,vericoin
212,,,,,,,,,,,,,,,,,2014/12/29,33,323343,vericoin,vericoin
213,,,,,,,,,,,,,,,,,2014/12/30,40,318012,vericoin,vericoin
214,,,,,,,,,,,,,,,,,2014/12/31,8,308736,vericoin,vericoin
215,,,,,,,,,,,,,,,,,2015/01/01,37,302491,vericoin,vericoin
216,,,,,,,,,,,,,,,,,2015/01/02,5,297666,vericoin,vericoin
217,,,,,,,,,,,,,,,,,2015/01/03,null,273120,vericoin,vericoin
218,,,,,,,,,,,,,,,,,2015/01/04,7,253044,vericoin,vericoin
219,,,,,,,,,,,,,,,,,2015/01/05,24,261493,vericoin,vericoin
220,,,,,,,,,,,,,,,,,2015/01/06,19,256291,vericoin,vericoin
221,,,,,,,,,,,,,,,,,2015/01/07,27,274316,vericoin,vericoin
222,,,,,,,,,,,,,,,,,2015/01/08,70,287808,vericoin,vericoin
223,,,,,,,,,,,,,,,,,2015/01/09,27,288160,vericoin,vericoin
224,,,,,,,,,,,,,,,,,2015/01/10,19,279321,vericoin,vericoin
225,,,,,,,,,,,,,,,,,2015/01/11,24,278835,vericoin,vericoin
226,,,,,,,,,,,,,,,,,2015/01/12,6,261718,vericoin,vericoin
227,,,,,,,,,,,,,,,,,2015/01/13,11,226597,vericoin,vericoin
228,,,,,,,,,,,,,,,,,2015/01/14,7,185302,vericoin,vericoin
229,,,,,,,,,,,,,,,,,2015/01/15,19,209914,vericoin,vericoin
230,,,,,,,,,,,,,,,,,2015/01/16,17,214780,vericoin,vericoin
231,,,,,,,,,,,,,,,,,2015/01/17,7,213684,vericoin,vericoin
232,,,,,,,,,,,,,,,,,2015/01/18,70,268576,vericoin,vericoin
233,,,,,,,,,,,,,,,,,2015/01/19,94,324677,vericoin,vericoin
234,,,,,,,,,,,,,,,,,2015/01/20,83,264574,vericoin,vericoin
235,,,,,,,,,,,,,,,,,2015/01/21,42,274202,vericoin,vericoin
236,,,,,,,,,,,,,,,,,2015/01/22,85,307891,vericoin,vericoin
237,,,,,,,,,,,,,,,,,2015/01/23,129,315970,vericoin,vericoin
238,,,,,,,,,,,,,,,,,2015/01/24,68,325743,vericoin,vericoin
239,,,,,,,,,,,,,,,,,2015/01/25,47,297056,vericoin,vericoin
240,,,,,,,,,,,,,,,,,2015/01/26,65,320573,vericoin,vericoin
241,,,,,,,,,,,,,,,,,2015/01/27,30,283287,vericoin,vericoin
242,,,,,,,,,,,,,,,,,2015/01/28,13,262573,vericoin,vericoin
243,,,,,,,,,,,,,,,,,2015/01/29,58,235535,vericoin,vericoin
244,,,,,,,,,,,,,,,,,2015/01/30,16,229357,vericoin,vericoin
245,,,,,,,,,,,,,,,,,2015/01/31,5,233187,vericoin,vericoin
246,,,,,,,,,,,,,,,,,2015/02/01,9,225282,vericoin,vericoin
247,,,,,,,,,,,,,,,,,2015/02/02,11,239730,vericoin,vericoin
248,,,,,,,,,,,,,,,,,2015/02/03,16,248285,vericoin,vericoin
249,,,,,,,,,,,,,,,,,2015/02/04,9,233789,vericoin,vericoin
250,,,,,,,,,,,,,,,,,2015/02/05,8,231032,vericoin,vericoin
251,,,,,,,,,,,,,,,,,2015/02/06,27,240172,vericoin,vericoin
252,,,,,,,,,,,,,,,,,2015/02/07,55,284255,vericoin,vericoin
253,,,,,,,,,,,,,,,,,2015/02/08,24,283447,vericoin,vericoin
254,,,,,,,,,,,,,,,,,2015/02/09,12,264216,vericoin,vericoin
255,,,,,,,,,,,,,,,,,2015/02/10,14,258364,vericoin,vericoin
256,,,,,,,,,,,,,,,,,2015/02/11,21,296069,vericoin,vericoin
257,,,,,,,,,,,,,,,,,2015/02/12,44,355481,vericoin,vericoin
258,,,,,,,,,,,,,,,,,2015/02/13,32,384588,vericoin,vericoin
259,,,,,,,,,,,,,,,,,2015/02/14,24,376096,vericoin,vericoin
260,,,,,,,,,,,,,,,,,2015/02/15,null,361430,vericoin,vericoin
261,,,,,,,,,,,,,,,,,2015/02/16,37,333999,vericoin,vericoin
262,,,,,,,,,,,,,,,,,2015/02/17,36,369457,vericoin,vericoin
263,,,,,,,,,,,,,,,,,2015/02/18,103,390398,vericoin,vericoin
264,,,,,,,,,,,,,,,,,2015/02/19,34,362882,vericoin,vericoin
265,,,,,,,,,,,,,,,,,2015/02/20,114,356320,vericoin,vericoin
266,,,,,,,,,,,,,,,,,2015/02/21,105,348068,vericoin,vericoin
267,,,,,,,,,,,,,,,,,2015/02/22,38,341238,vericoin,vericoin
268,,,,,,,,,,,,,,,,,2015/02/23,42,327342,vericoin,vericoin
269,,,,,,,,,,,,,,,,,2015/02/24,45,330705,vericoin,vericoin
270,,,,,,,,,,,,,,,,,2015/02/25,38,313494,vericoin,vericoin
271,,,,,,,,,,,,,,,,,2015/02/26,35,294780,vericoin,vericoin
272,,,,,,,,,,,,,,,,,2015/02/27,50,300646,vericoin,vericoin
273,,,,,,,,,,,,,,,,,2015/02/28,53,329223,vericoin,vericoin
274,,,,,,,,,,,,,,,,,2015/03/01,59,331893,vericoin,vericoin
275,,,,,,,,,,,,,,,,,2015/03/02,70,301289,vericoin,vericoin
276,,,,,,,,,,,,,,,,,2015/03/03,48,355026,vericoin,vericoin
277,,,,,,,,,,,,,,,,,2015/03/04,42,393415,vericoin,vericoin
278,,,,,,,,,,,,,,,,,2015/03/05,44,388204,vericoin,vericoin
279,,,,,,,,,,,,,,,,,2015/03/06,67,359806,vericoin,vericoin
280,,,,,,,,,,,,,,,,,2015/03/07,57,370181,vericoin,vericoin
281,,,,,,,,,,,,,,,,,2015/03/08,60,401435,vericoin,vericoin
282,,,,,,,,,,,,,,,,,2015/03/09,127,559214,vericoin,vericoin
283,,,,,,,,,,,,,,,,,2015/03/10,79,493056,vericoin,vericoin
284,,,,,,,,,,,,,,,,,2015/03/11,43,515807,vericoin,vericoin
285,,,,,,,,,,,,,,,,,2015/03/12,51,522714,vericoin,vericoin
286,,,,,,,,,,,,,,,,,2015/03/13,73,486505,vericoin,vericoin
287,,,,,,,,,,,,,,,,,2015/03/14,23,451947,vericoin,vericoin
288,,,,,,,,,,,,,,,,,2015/03/15,25,442061,vericoin,vericoin
289,,,,,,,,,,,,,,,,,2015/03/16,41,462537,vericoin,vericoin
290,,,,,,,,,,,,,,,,,2015/03/17,106,496725,vericoin,vericoin
291,,,,,,,,,,,,,,,,,2015/03/18,44,457347,vericoin,vericoin
292,,,,,,,,,,,,,,,,,2015/03/19,70,408818,vericoin,vericoin
293,,,,,,,,,,,,,,,,,2015/03/20,90,410004,vericoin,vericoin
294,,,,,,,,,,,,,,,,,2015/03/21,23,376277,vericoin,vericoin
