,date,block_size,transactions,market_cap,difficulty,median_transaction_value,active_addresses,confirmation_time,av_transaction_size,av_transaction_value,send_usd,median_transaction_size,fee_reward,top_100_percent,hashrate,mining_profitability,google_trends,sent_addresses,tweets,full_name,coin
328,2009/11/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
