,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
268,2009/09/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
269,2009/09/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
270,2009/09/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
271,2009/10/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
272,2009/10/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
273,2009/10/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
274,2009/10/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
275,2009/10/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
276,2009/10/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
277,2009/10/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
278,2009/10/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
279,2009/10/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
280,2009/10/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
281,2009/10/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
282,2009/10/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
283,2009/10/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
284,2009/10/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
285,2009/10/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
286,2009/10/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
287,2009/10/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
288,2009/10/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
289,2009/10/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
290,2009/10/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
291,2009/10/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
292,2009/10/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
293,2009/10/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
294,2009/10/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
295,2009/10/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
296,2009/10/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
297,2009/10/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
298,2009/10/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
299,2009/10/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
300,2009/10/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
301,2009/10/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
302,2009/11/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
303,2009/11/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
304,2009/11/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
305,2009/11/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
306,2009/11/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
307,2009/11/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
308,2009/11/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
309,2009/11/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
310,2009/11/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
311,2009/11/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
312,2009/11/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
313,2009/11/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
314,2009/11/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
315,2009/11/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
316,2009/11/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
317,2009/11/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
318,2009/11/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
319,2009/11/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
320,2009/11/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
321,2009/11/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
322,2009/11/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
323,2009/11/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
324,2009/11/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
325,2009/11/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
326,2009/11/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
327,2009/11/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
328,2009/11/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
329,2009/11/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
330,2009/11/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
331,2009/11/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
332,2009/12/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
333,2009/12/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
334,2009/12/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
335,2009/12/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
336,2009/12/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
337,2009/12/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
338,2009/12/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
339,2009/12/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
340,2009/12/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
341,2009/12/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
342,2009/12/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
343,2009/12/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
344,2009/12/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
345,2009/12/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
346,2009/12/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
347,2009/12/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
348,2009/12/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
349,2009/12/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
350,2009/12/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
351,2009/12/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
352,2009/12/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
353,2009/12/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
354,2009/12/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
355,2009/12/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
356,2009/12/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
357,2009/12/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
358,2009/12/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
