,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
309,2011/05/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
310,2011/05/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
311,2011/05/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
312,2011/05/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
313,2011/05/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
314,2011/05/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
315,2011/05/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
316,2011/05/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
317,2011/05/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
318,2011/05/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
319,2011/06/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
320,2011/06/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
321,2011/06/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
322,2011/06/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
323,2011/06/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
