,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
284,2009/10/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
285,2009/10/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
286,2009/10/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
287,2009/10/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
288,2009/10/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
289,2009/10/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
290,2009/10/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
291,2009/10/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
292,2009/10/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
293,2009/10/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
294,2009/10/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
295,2009/10/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
296,2009/11/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
297,2009/11/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
298,2009/11/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
299,2009/11/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
300,2009/11/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
301,2009/11/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
302,2009/11/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
303,2009/11/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
304,2009/11/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
305,2009/11/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
306,2009/11/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
307,2009/11/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
308,2009/11/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
309,2009/11/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
310,2009/11/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
311,2009/11/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
312,2009/11/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
313,2009/11/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
314,2009/11/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
315,2009/11/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
316,2009/11/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
317,2009/11/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
318,2009/11/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
319,2009/11/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
320,2009/11/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
321,2009/11/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
322,2009/11/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
323,2009/11/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
324,2009/11/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
325,2009/11/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
326,2009/12/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
327,2009/12/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
328,2009/12/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
329,2009/12/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
330,2009/12/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
331,2009/12/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
332,2009/12/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
333,2009/12/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
334,2009/12/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
335,2009/12/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
336,2009/12/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
337,2009/12/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
338,2009/12/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
339,2009/12/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
340,2009/12/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
341,2009/12/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
342,2009/12/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
343,2009/12/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
344,2009/12/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
345,2009/12/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
346,2009/12/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
347,2009/12/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
348,2009/12/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
349,2009/12/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
350,2009/12/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
351,2009/12/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
352,2009/12/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
353,2009/12/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
354,2009/12/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
355,2009/12/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
356,2009/12/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
357,2010/01/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
358,2010/01/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
