,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
296,,,,,,,,,,,,,2015/01/31,,,,,1,,execoin,execoin
297,,,,,,,,,,,,,2015/02/01,,,,,null,,execoin,execoin
298,,,,,,,,,,,,,2015/02/02,,,,,null,,execoin,execoin
299,,,,,,,,,,,,,2015/02/03,,,,,null,,execoin,execoin
300,,,,,,,,,,,,,2015/02/04,,,,,null,,execoin,execoin
301,,,,,,,,,,,,,2015/02/05,,,,,null,,execoin,execoin
302,,,,,,,,,,,,,2015/02/06,,,,,null,,execoin,execoin
303,,,,,,,,,,,,,2015/02/07,,,,,null,,execoin,execoin
304,,,,,,,,,,,,,2015/02/08,,,,,null,,execoin,execoin
305,,,,,,,,,,,,,2015/02/09,,,,,null,,execoin,execoin
306,,,,,,,,,,,,,2015/02/10,,,,,null,,execoin,execoin
307,,,,,,,,,,,,,2015/02/11,,,,,null,,execoin,execoin
308,,,,,,,,,,,,,2015/02/12,,,,,null,,execoin,execoin
309,,,,,,,,,,,,,2015/02/13,,,,,null,,execoin,execoin
310,,,,,,,,,,,,,2015/02/14,,,,,null,,execoin,execoin
311,,,,,,,,,,,,,2015/02/15,,,,,null,,execoin,execoin
312,,,,,,,,,,,,,2015/02/16,,,,,null,,execoin,execoin
313,,,,,,,,,,,,,2015/02/17,,,,,null,,execoin,execoin
314,,,,,,,,,,,,,2015/02/18,,,,,null,,execoin,execoin
315,,,,,,,,,,,,,2015/02/19,,,,,null,,execoin,execoin
316,,,,,,,,,,,,,2015/02/20,,,,,null,,execoin,execoin
317,,,,,,,,,,,,,2015/02/21,,,,,null,,execoin,execoin
318,,,,,,,,,,,,,2015/02/22,,,,,null,,execoin,execoin
319,,,,,,,,,,,,,2015/02/23,,,,,null,,execoin,execoin
320,,,,,,,,,,,,,2015/02/24,,,,,null,,execoin,execoin
321,,,,,,,,,,,,,2015/02/25,,,,,null,,execoin,execoin
322,,,,,,,,,,,,,2015/02/26,,,,,null,,execoin,execoin
323,,,,,,,,,,,,,2015/02/27,,,,,null,,execoin,execoin
324,,,,,,,,,,,,,2015/02/28,,,,,null,,execoin,execoin
325,,,,,,,,,,,,,2015/03/01,,,,,null,,execoin,execoin
326,,,,,,,,,,,,,2015/03/02,,,,,null,,execoin,execoin
327,,,,,,,,,,,,,2015/03/03,,,,,null,,execoin,execoin
328,,,,,,,,,,,,,2015/03/04,,,,,null,,execoin,execoin
329,,,,,,,,,,,,,2015/03/05,,,,,null,,execoin,execoin
330,,,,,,,,,,,,,2015/03/06,,,,,null,,execoin,execoin
331,,,,,,,,,,,,,2015/03/07,,,,,null,,execoin,execoin
332,,,,,,,,,,,,,2015/03/08,,,,,null,,execoin,execoin
333,,,,,,,,,,,,,2015/03/09,,,,,null,,execoin,execoin
334,,,,,,,,,,,,,2015/03/10,,,,,null,,execoin,execoin
335,,,,,,,,,,,,,2015/03/11,,,,,null,,execoin,execoin
336,,,,,,,,,,,,,2015/03/12,,,,,null,,execoin,execoin
337,,,,,,,,,,,,,2015/03/13,,,,,null,,execoin,execoin
338,,,,,,,,,,,,,2015/03/14,,,,,null,,execoin,execoin
339,,,,,,,,,,,,,2015/03/15,,,,,null,,execoin,execoin
340,,,,,,,,,,,,,2015/03/16,,,,,null,,execoin,execoin
341,,,,,,,,,,,,,2015/03/17,,,,,null,,execoin,execoin
342,,,,,,,,,,,,,2015/03/18,,,,,null,,execoin,execoin
343,,,,,,,,,,,,,2015/03/19,,,,,null,,execoin,execoin
344,,,,,,,,,,,,,2015/03/20,,,,,2,,execoin,execoin
345,,,,,,,,,,,,,2015/03/21,,,,,null,,execoin,execoin
346,,,,,,,,,,,,,2015/03/22,,,,,null,,execoin,execoin
347,,,,,,,,,,,,,2015/03/23,,,,,1,,execoin,execoin
348,,,,,,,,,,,,,2015/03/24,,,,,null,,execoin,execoin
349,,,,,,,,,,,,,2015/03/25,,,,,null,,execoin,execoin
350,,,,,,,,,,,,,2015/03/26,,,,,null,,execoin,execoin
351,,,,,,,,,,,,,2015/03/27,,,,,null,,execoin,execoin
352,,,,,,,,,,,,,2015/03/28,,,,,null,,execoin,execoin
353,,,,,,,,,,,,,2015/03/29,,,,,null,,execoin,execoin
354,,,,,,,,,,,,,2015/03/30,,,,,null,,execoin,execoin
355,,,,,,,,,,,,,2015/03/31,,,,,null,,execoin,execoin
356,,,,,,,,,,,,,2015/04/01,,,,,1,,execoin,execoin
357,,,,,,,,,,,,,2015/04/02,,,,,null,,execoin,execoin
358,,,,,,,,,,,,,2015/04/03,,,,,null,,execoin,execoin
359,,,,,,,,,,,,,2015/04/04,,,,,null,,execoin,execoin
