,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
287,,,,,,,,2015/05/04,2,,,,,,,,,,,viacoin,viacoin
288,,,,,,,,2015/05/05,null,,,,,,,,,,,viacoin,viacoin
289,,,,,,,,2015/05/06,null,,,,,,,,,,,viacoin,viacoin
290,,,,,,,,2015/05/07,2,,,,,,,,,,,viacoin,viacoin
291,,,,,,,,2015/05/08,null,,,,,,,,,,,viacoin,viacoin
292,,,,,,,,2015/05/09,null,,,,,,,,,,,viacoin,viacoin
293,,,,,,,,2015/05/10,1,,,,,,,,,,,viacoin,viacoin
294,,,,,,,,2015/05/11,2,,,,,,,,,,,viacoin,viacoin
295,,,,,,,,2015/05/12,1,,,,,,,,,,,viacoin,viacoin
296,,,,,,,,2015/05/13,2,,,,,,,,,,,viacoin,viacoin
297,,,,,,,,2015/05/14,1,,,,,,,,,,,viacoin,viacoin
298,,,,,,,,2015/05/15,3,,,,,,,,,,,viacoin,viacoin
299,,,,,,,,2015/05/16,1,,,,,,,,,,,viacoin,viacoin
300,,,,,,,,2015/05/17,1,,,,,,,,,,,viacoin,viacoin
301,,,,,,,,2015/05/18,1,,,,,,,,,,,viacoin,viacoin
302,,,,,,,,2015/05/19,2,,,,,,,,,,,viacoin,viacoin
303,,,,,,,,2015/05/20,null,,,,,,,,,,,viacoin,viacoin
304,,,,,,,,2015/05/21,1,,,,,,,,,,,viacoin,viacoin
305,,,,,,,,2015/05/22,1,,,,,,,,,,,viacoin,viacoin
306,,,,,,,,2015/05/23,1,,,,,,,,,,,viacoin,viacoin
307,,,,,,,,2015/05/24,null,,,,,,,,,,,viacoin,viacoin
308,,,,,,,,2015/05/25,null,,,,,,,,,,,viacoin,viacoin
309,,,,,,,,2015/05/26,1,,,,,,,,,,,viacoin,viacoin
310,,,,,,,,2015/05/27,2,,,,,,,,,,,viacoin,viacoin
311,,,,,,,,2015/05/28,null,,,,,,,,,,,viacoin,viacoin
312,,,,,,,,2015/05/29,null,,,,,,,,,,,viacoin,viacoin
313,,,,,,,,2015/05/30,3,,,,,,,,,,,viacoin,viacoin
314,,,,,,,,2015/05/31,null,,,,,,,,,,,viacoin,viacoin
315,,,,,,,,2015/06/01,null,,,,,,,,,,,viacoin,viacoin
316,,,,,,,,2015/06/02,null,,,,,,,,,,,viacoin,viacoin
317,,,,,,,,2015/06/03,3,,,,,,,,,,,viacoin,viacoin
318,,,,,,,,2015/06/04,5,,,,,,,,,,,viacoin,viacoin
319,,,,,,,,2015/06/05,null,,,,,,,,,,,viacoin,viacoin
