,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
247,,,,,,,,,,,,,,,2014/12/12,6,,,,einsteinium,einsteinium
248,,,,,,,,,,,,,,,2014/12/13,2,,,,einsteinium,einsteinium
249,,,,,,,,,,,,,,,2014/12/14,5,,,,einsteinium,einsteinium
250,,,,,,,,,,,,,,,2014/12/15,null,,,,einsteinium,einsteinium
251,,,,,,,,,,,,,,,2014/12/16,1,,,,einsteinium,einsteinium
252,,,,,,,,,,,,,,,2014/12/17,null,,,,einsteinium,einsteinium
253,,,,,,,,,,,,,,,2014/12/18,1,,,,einsteinium,einsteinium
254,,,,,,,,,,,,,,,2014/12/19,null,,,,einsteinium,einsteinium
255,,,,,,,,,,,,,,,2014/12/20,1,,,,einsteinium,einsteinium
256,,,,,,,,,,,,,,,2014/12/21,2,,,,einsteinium,einsteinium
257,,,,,,,,,,,,,,,2014/12/22,null,,,,einsteinium,einsteinium
258,,,,,,,,,,,,,,,2014/12/23,1,,,,einsteinium,einsteinium
259,,,,,,,,,,,,,,,2014/12/24,null,,,,einsteinium,einsteinium
260,,,,,,,,,,,,,,,2014/12/25,1,,,,einsteinium,einsteinium
261,,,,,,,,,,,,,,,2014/12/26,null,,,,einsteinium,einsteinium
262,,,,,,,,,,,,,,,2014/12/27,3,,,,einsteinium,einsteinium
263,,,,,,,,,,,,,,,2014/12/28,1,,,,einsteinium,einsteinium
264,,,,,,,,,,,,,,,2014/12/29,1,,,,einsteinium,einsteinium
265,,,,,,,,,,,,,,,2014/12/30,null,,,,einsteinium,einsteinium
266,,,,,,,,,,,,,,,2014/12/31,null,,,,einsteinium,einsteinium
267,,,,,,,,,,,,,,,2015/01/01,null,,,,einsteinium,einsteinium
268,,,,,,,,,,,,,,,2015/01/02,null,,,,einsteinium,einsteinium
269,,,,,,,,,,,,,,,2015/01/03,null,,,,einsteinium,einsteinium
270,,,,,,,,,,,,,,,2015/01/04,null,,,,einsteinium,einsteinium
271,,,,,,,,,,,,,,,2015/01/05,1,,,,einsteinium,einsteinium
272,,,,,,,,,,,,,,,2015/01/06,3,,,,einsteinium,einsteinium
273,,,,,,,,,,,,,,,2015/01/07,null,,,,einsteinium,einsteinium
274,,,,,,,,,,,,,,,2015/01/08,6,,,,einsteinium,einsteinium
275,,,,,,,,,,,,,,,2015/01/09,null,,,,einsteinium,einsteinium
276,,,,,,,,,,,,,,,2015/01/10,1,,,,einsteinium,einsteinium
277,,,,,,,,,,,,,,,2015/01/11,1,,,,einsteinium,einsteinium
278,,,,,,,,,,,,,,,2015/01/12,null,,,,einsteinium,einsteinium
279,,,,,,,,,,,,,,,2015/01/13,null,,,,einsteinium,einsteinium
280,,,,,,,,,,,,,,,2015/01/14,1,,,,einsteinium,einsteinium
281,,,,,,,,,,,,,,,2015/01/15,null,,,,einsteinium,einsteinium
282,,,,,,,,,,,,,,,2015/01/16,1,,,,einsteinium,einsteinium
283,,,,,,,,,,,,,,,2015/01/17,null,,,,einsteinium,einsteinium
284,,,,,,,,,,,,,,,2015/01/18,null,,,,einsteinium,einsteinium
285,,,,,,,,,,,,,,,2015/01/19,null,,,,einsteinium,einsteinium
286,,,,,,,,,,,,,,,2015/01/20,1,,,,einsteinium,einsteinium
287,,,,,,,,,,,,,,,2015/01/21,null,,,,einsteinium,einsteinium
288,,,,,,,,,,,,,,,2015/01/22,null,,,,einsteinium,einsteinium
289,,,,,,,,,,,,,,,2015/01/23,null,,,,einsteinium,einsteinium
290,,,,,,,,,,,,,,,2015/01/24,1,,,,einsteinium,einsteinium
291,,,,,,,,,,,,,,,2015/01/25,null,,,,einsteinium,einsteinium
292,,,,,,,,,,,,,,,2015/01/26,1,,,,einsteinium,einsteinium
293,,,,,,,,,,,,,,,2015/01/27,null,,,,einsteinium,einsteinium
294,,,,,,,,,,,,,,,2015/01/28,null,,,,einsteinium,einsteinium
295,,,,,,,,,,,,,,,2015/01/29,1,,,,einsteinium,einsteinium
296,,,,,,,,,,,,,,,2015/01/30,null,,,,einsteinium,einsteinium
297,,,,,,,,,,,,,,,2015/01/31,null,,,,einsteinium,einsteinium
298,,,,,,,,,,,,,,,2015/02/01,null,,,,einsteinium,einsteinium
299,,,,,,,,,,,,,,,2015/02/02,null,,,,einsteinium,einsteinium
300,,,,,,,,,,,,,,,2015/02/03,null,,,,einsteinium,einsteinium
301,,,,,,,,,,,,,,,2015/02/04,1,,,,einsteinium,einsteinium
302,,,,,,,,,,,,,,,2015/02/05,null,,,,einsteinium,einsteinium
303,,,,,,,,,,,,,,,2015/02/06,null,,,,einsteinium,einsteinium
304,,,,,,,,,,,,,,,2015/02/07,null,,,,einsteinium,einsteinium
305,,,,,,,,,,,,,,,2015/02/08,null,,,,einsteinium,einsteinium
306,,,,,,,,,,,,,,,2015/02/09,null,,,,einsteinium,einsteinium
307,,,,,,,,,,,,,,,2015/02/10,null,,,,einsteinium,einsteinium
308,,,,,,,,,,,,,,,2015/02/11,null,,,,einsteinium,einsteinium
309,,,,,,,,,,,,,,,2015/02/12,null,,,,einsteinium,einsteinium
310,,,,,,,,,,,,,,,2015/02/13,2,,,,einsteinium,einsteinium
311,,,,,,,,,,,,,,,2015/02/14,1,,,,einsteinium,einsteinium
312,,,,,,,,,,,,,,,2015/02/15,null,,,,einsteinium,einsteinium
313,,,,,,,,,,,,,,,2015/02/16,1,,,,einsteinium,einsteinium
314,,,,,,,,,,,,,,,2015/02/17,null,,,,einsteinium,einsteinium
315,,,,,,,,,,,,,,,2015/02/18,1,,,,einsteinium,einsteinium
316,,,,,,,,,,,,,,,2015/02/19,null,,,,einsteinium,einsteinium
317,,,,,,,,,,,,,,,2015/02/20,null,,,,einsteinium,einsteinium
318,,,,,,,,,,,,,,,2015/02/21,null,,,,einsteinium,einsteinium
319,,,,,,,,,,,,,,,2015/02/22,null,,,,einsteinium,einsteinium
320,,,,,,,,,,,,,,,2015/02/23,null,,,,einsteinium,einsteinium
321,,,,,,,,,,,,,,,2015/02/24,null,,,,einsteinium,einsteinium
322,,,,,,,,,,,,,,,2015/02/25,null,,,,einsteinium,einsteinium
323,,,,,,,,,,,,,,,2015/02/26,null,,,,einsteinium,einsteinium
324,,,,,,,,,,,,,,,2015/02/27,null,,,,einsteinium,einsteinium
